Flight Date,Status,Departure Airport,Departure IATA,Arrival Airport,Arrival IATA,Airline Name,Airline IATA,Flight Number,Flight IATA,Departure Delay,Arrival Delay,Arrival Region,Arrival City,Departure Date,Departure Time,Arrival Date,Arrival Time,Date
2021-09-16,landed,Indira Gandhi International,DEL,Netaji Subhas Chandra,CCU,Air India,AI,401,AI401,17.0,0.0,Asia,Kolkata,2021-09-16,07:17:00,2021-09-16,09:02:00,16-09-2021
2021-09-16,landed,Indira Gandhi International,DEL,Borjhar,GAU,AirAsia India,I5,787,I5787,7.0,0.0,Asia,Kolkata,2021-09-16,06:17:00,2021-09-16,08:24:00,16-09-2021
2021-09-16,landed,Indira Gandhi International,DEL,Chhatrapati Shivaji International (Sahar International),BOM,British Airways,BA,5849,BA5849,9.0,0.0,Asia,Kolkata,2021-09-16,08:58:00,2021-09-16,10:37:00,16-09-2021
2021-09-16,landed,Indira Gandhi International,DEL,Ahmedabad,AMD,IndiGo,6E,2567,6E2567,6.0,0.0,Asia,Kolkata,2021-09-16,09:00:00,2021-09-16,10:09:00,16-09-2021
2021-09-16,landed,Indira Gandhi International,DEL,Dubai,DXB,flydubai,FZ,432,FZ432,46.0,0.0,Asia,Dubai,2021-09-16,07:41:00,2021-09-16,09:03:00,16-09-2021
2021-09-16,landed,Indira Gandhi International,DEL,Ahmedabad,AMD,IndiGo,6E,2733,6E2733,44.0,31.0,Asia,Kolkata,2021-09-16,14:34:00,2021-09-16,15:45:00,16-09-2021
2021-09-16,landed,Indira Gandhi International,DEL,Cochin International,COK,British Airways,BA,5867,BA5867,3.0,0.0,Asia,Kolkata,2021-09-16,05:58:00,2021-09-16,08:42:00,16-09-2021
2021-09-16,landed,Indira Gandhi International,DEL,Netaji Subhas Chandra,CCU,British Airways,BA,5859,BA5859,7.0,5.0,Asia,Kolkata,2021-09-16,06:27:00,2021-09-16,08:24:00,16-09-2021
2021-09-16,landed,Indira Gandhi International,DEL,Ahmedabad,AMD,Alliance Air,9I,887,9I887,18.0,0.0,Asia,Kolkata,2021-09-16,06:38:00,2021-09-16,08:20:00,16-09-2021
2021-09-16,landed,Indira Gandhi International,DEL,Chhatrapati Shivaji International (Sahar International),BOM,Vistara,UK,927,UK927,8.0,0.0,Asia,Kolkata,2021-09-16,09:38:00,2021-09-16,11:20:00,16-09-2021
2021-09-16,landed,Indira Gandhi International,DEL,Borjhar,GAU,IndiGo,6E,2574,6E2574,11.0,0.0,Asia,Kolkata,2021-09-16,12:40:00,2021-09-16,14:43:00,16-09-2021
2021-09-16,landed,Indira Gandhi International,DEL,Ahmedabad,AMD,Air India,AI,9887,AI9887,18.0,0.0,Asia,Kolkata,2021-09-16,06:38:00,2021-09-16,08:20:00,16-09-2021
2021-09-16,landed,Indira Gandhi International,DEL,Frankfurt International Airport,FRA,Air India,AI,8761,AI8761,31.0,0.0,Europe,Berlin,2021-09-16,03:21:00,2021-09-16,07:38:00,16-09-2021
2021-09-16,landed,Indira Gandhi International,DEL,Ahmedabad,AMD,British Airways,BA,5821,BA5821,17.0,0.0,Asia,Kolkata,2021-09-16,06:47:00,2021-09-16,07:59:00,16-09-2021
2021-09-16,landed,Indira Gandhi International,DEL,Chhatrapati Shivaji International (Sahar International),BOM,Air India,AI,865,AI865,20.0,0.0,Asia,Kolkata,2021-09-16,11:00:00,2021-09-16,12:36:00,16-09-2021
2021-09-16,landed,Indira Gandhi International,DEL,Ahmedabad,AMD,British Airways,BA,5823,BA5823,9.0,0.0,Asia,Kolkata,2021-09-16,08:54:00,2021-09-16,09:59:00,16-09-2021
2021-09-16,landed,Indira Gandhi International,DEL,Dehra Dun,DED,IndiGo,6E,7367,6E7367,19.0,8.0,Asia,Kolkata,2021-09-16,12:43:00,2021-09-16,13:28:00,16-09-2021
2021-09-16,landed,Indira Gandhi International,DEL,Ahmedabad,AMD,Blue Dart Aviation,BZ,481,BZ481,14.0,0.0,Asia,Kolkata,2021-09-16,01:19:00,2021-09-16,02:22:00,16-09-2021
2021-09-16,landed,Indira Gandhi International,DEL,Cochin International,COK,IndiGo,6E,2241,6E2241,30.0,1.0,Asia,Kolkata,2021-09-16,11:25:00,2021-09-16,14:05:00,16-09-2021
