,Flight Date,Status,Departure Airport,Departure IATA,Arrival Airport,Arrival IATA,Airline Name,Airline IATA,Flight Number,Flight IATA,Departure Delay,Arrival Delay,Arrival Region,Arrival City,Departure Date,Departure Time,Arrival Date,Arrival Time,Date
0,2021-09-14,landed,Indira Gandhi International,DEL,Chhatrapati Shivaji International (Sahar International),BOM,GoAir,G8,334,G8334,19.0,0.0,Asia,Kolkata,2021-09-14,08:18:00,2021-09-14,10:02:00,14-09-2021
1,2021-09-14,landed,Indira Gandhi International,DEL,Newark Liberty International,EWR,Air India,AI,105,AI105,34.0,15.0,America,New_York,2021-09-14,02:53:00,2021-09-14,08:09:00,14-09-2021
2,2021-09-14,landed,Indira Gandhi International,DEL,Netaji Subhas Chandra,CCU,Blue Dart Aviation,BZ,102,BZ102,20.0,2.0,Asia,Kolkata,2021-09-14,06:35:00,2021-09-14,08:25:00,14-09-2021
3,2021-09-14,landed,Indira Gandhi International,DEL,Chhatrapati Shivaji International (Sahar International),BOM,Vistara,UK,933,UK933,8.0,0.0,Asia,Kolkata,2021-09-14,15:52:00,2021-09-14,17:34:00,14-09-2021
4,2021-09-14,landed,Indira Gandhi International,DEL,Charles De Gaulle,CDG,Air France,AF,225,AF225,51.0,22.0,Europe,Paris,2021-09-14,02:05:00,2021-09-14,07:41:00,14-09-2021
5,2021-09-14,landed,Indira Gandhi International,DEL,Ahmedabad,AMD,IndiGo,6E,2567,6E2567,16.0,0.0,Asia,Kolkata,2021-09-14,09:11:00,2021-09-14,10:18:00,14-09-2021
6,2021-09-14,landed,Indira Gandhi International,DEL,Ahmedabad,AMD,IndiGo,6E,2615,6E2615,6.0,0.0,Asia,Kolkata,2021-09-14,07:25:00,2021-09-14,08:30:00,14-09-2021
7,2021-09-14,landed,Indira Gandhi International,DEL,Netaji Subhas Chandra,CCU,Ethiopian Airlines,ET,1137,ET1137,20.0,0.0,Asia,Kolkata,2021-09-14,07:20:00,2021-09-14,09:03:00,14-09-2021
8,2021-09-14,landed,Indira Gandhi International,DEL,Ahmedabad,AMD,IndiGo,6E,2733,6E2733,6.0,0.0,Asia,Kolkata,2021-09-14,13:56:00,2021-09-14,15:03:00,14-09-2021
9,2021-09-14,landed,Indira Gandhi International,DEL,Chhatrapati Shivaji International (Sahar International),BOM,Air Mauritius,MK,8029,MK8029,24.0,0.0,Asia,Kolkata,2021-09-14,11:03:00,2021-09-14,12:35:00,14-09-2021
